time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
31_10_0_0_22,0,0,0,21.10,44.40,9697,19.90,56.30,9679,0,0,0,18.90,55.50,9703,19.70,51.70,9689,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,0,0,17.90,19.90,20.36,20.49,C,0,0,21.20,0.00,20.36,20.11,O,1792,1192,18.10,18.90,20.36,64.10,C,3,0,20.20,19.70,20.36,64.10,O,0,0
31_10_0_0_52,0,0,0,21.10,44.40,9752,19.90,56.30,9759,0,0,0,19.00,55.60,9758,19.70,51.70,9767,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,0,0,17.90,19.90,20.36,20.43,C,0,0,21.20,0.00,20.36,20.18,C,1800,0,18.10,19.00,20.36,64.10,C,0,0,20.20,19.70,20.36,64.10,O,0,0
31_10_0_1_22,0,0,0,21.10,44.40,9790,20.00,56.40,9802,0,0,0,18.90,55.50,9796,19.70,51.70,9801,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,2,0,17.90,19.90,20.36,20.43,C,10,0,21.20,0.00,20.36,20.18,C,1810,10,18.10,18.90,20.36,64.10,C,2,0,20.20,19.70,20.36,64.10,O,1,0
31_10_0_1_52,0,0,0,21.10,44.40,9864,19.90,56.20,9859,0,0,0,18.90,55.50,9830,19.70,51.70,9870,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.30,C,2,0,17.90,19.90,20.36,20.49,C,0,0,21.20,0.00,20.36,20.18,C,1817,17,18.10,18.90,20.36,64.10,C,4,0,20.20,19.70,20.36,64.10,O,1,0
31_10_0_2_23,0,0,0,21.10,44.40,9896,19.90,56.20,9917,0,0,0,18.90,55.50,9830,19.70,51.70,9911,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.43,20.43,C,3,0,17.90,20.10,20.43,20.43,C,2,0,21.20,0.00,20.43,20.18,C,1826,26,18.10,18.90,20.43,64.10,C,13,0,20.20,19.70,20.43,64.10,O,0,0
31_10_0_2_53,0,0,0,21.10,44.40,9896,20.10,56.40,9949,0,0,0,18.90,55.40,9945,19.70,51.70,9954,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.43,20.43,C,13,0,17.90,20.10,20.43,20.62,C,1,0,21.20,0.00,20.43,20.18,C,1836,36,18.10,18.90,20.43,64.10,C,2,0,20.20,19.70,20.43,64.10,O,0,0
31_10_0_3_23,0,0,0,21.10,44.40,9896,19.90,56.20,9987,0,0,0,18.90,55.50,10004,20.00,51.90,10001,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.30,20.36,C,22,0,17.90,19.90,20.30,20.68,C,6,0,21.20,0.00,20.30,20.18,C,1845,45,18.10,18.90,20.30,64.10,C,0,0,20.20,20.00,20.30,64.10,O,0,0
31_10_0_3_53,0,0,0,21.20,44.50,10036,19.90,56.20,10011,0,0,0,18.90,55.50,10042,19.70,51.70,10048,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.30,20.30,C,1,0,17.90,19.90,20.30,20.55,C,7,0,21.20,0.00,20.30,20.24,C,1854,54,18.10,18.90,20.30,64.10,C,1,0,20.20,19.50,20.30,64.10,O,1,0
31_10_0_4_24,0,0,0,21.10,44.50,10109,19.90,56.20,10011,0,0,0,18.90,55.70,10110,19.70,51.70,10104,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,0,0,17.90,19.90,20.24,20.49,C,15,0,21.20,0.00,20.24,20.24,C,1862,62,18.10,18.90,20.24,64.10,C,1,0,20.20,19.70,20.24,64.10,O,0,0
31_10_0_4_54,0,0,0,21.10,44.50,10161,19.90,56.20,10011,0,0,0,18.90,55.90,10166,19.70,51.50,10169,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,1,0,17.90,19.90,20.24,20.49,C,23,0,21.20,0.00,20.24,20.24,C,1870,70,18.10,19.00,20.24,64.10,C,2,0,20.20,19.70,20.24,64.10,O,1,0
31_10_0_5_25,0,0,0,21.10,44.60,10224,19.90,56.20,10215,0,0,0,18.90,55.90,10211,19.70,51.40,10220,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.18,20.24,C,1,0,17.90,19.90,20.18,20.43,C,1,0,21.20,0.00,20.18,20.30,C,1878,78,18.10,18.90,20.18,64.10,C,1,0,20.20,19.70,20.18,64.10,O,0,0
31_10_0_5_55,0,0,0,20.90,44.40,10267,19.90,56.20,10281,0,0,0,18.90,55.90,10283,19.60,51.40,10288,0,0,0,0,0,0,0,0,0,0,0,0,17.80,20.90,20.24,20.24,C,3,0,17.90,19.90,20.24,20.43,C,0,0,21.20,0.00,20.24,20.30,C,1886,86,18.10,18.90,20.24,64.10,C,1,0,20.20,19.70,20.24,64.10,O,1,0
31_10_0_6_25,0,0,0,21.10,44.60,10324,19.90,56.20,10332,0,0,0,18.90,55.90,10283,19.60,51.50,10331,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,1,0,17.90,19.90,20.24,20.43,C,1,0,21.20,0.00,20.24,20.30,C,1895,95,18.10,18.90,20.24,64.10,C,9,0,20.20,19.60,20.24,64.10,O,1,0
31_10_0_6_55,0,0,0,21.10,44.60,10354,19.80,56.10,10389,0,0,0,18.90,55.90,10283,19.70,51.70,10391,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,4,0,17.90,19.80,20.24,20.43,C,0,0,21.20,0.00,20.24,20.30,C,1903,103,18.10,18.90,20.24,64.10,C,17,0,20.20,19.70,20.24,64.10,O,0,0
31_10_0_7_26,0,0,0,21.10,44.60,10354,19.90,56.20,10444,0,0,0,19.00,56.00,10443,19.70,51.70,10439,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,12,0,17.90,19.90,20.24,20.43,C,2,0,21.20,0.00,20.24,20.49,C,1911,111,18.10,19.00,20.24,64.10,C,0,0,20.20,19.70,20.24,64.10,O,0,0
31_10_0_7_56,0,0,0,21.10,44.60,10354,20.00,56.20,10474,0,0,0,19.00,55.90,10485,19.80,51.80,10489,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,22,0,17.90,20.00,20.24,20.36,C,3,0,21.20,0.00,20.24,20.36,C,1920,120,18.10,19.00,20.24,64.10,C,0,0,20.20,19.50,20.24,64.10,O,1,0
31_10_0_8_26,0,0,0,21.10,44.60,10539,19.90,56.10,10530,0,0,0,19.00,55.80,10542,19.70,51.70,10538,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.24,20.24,C,0,0,17.90,19.90,20.24,20.43,C,2,0,21.20,0.00,20.24,20.36,C,1929,129,18.10,18.90,20.24,64.10,C,2,0,20.20,19.70,20.24,64.10,O,0,0
31_10_0_8_56,0,0,0,21.10,44.60,10596,19.90,56.10,10588,0,0,0,19.00,55.80,10602,19.70,51.60,10604,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.30,20.30,C,0,0,17.90,19.90,20.30,20.49,C,1,0,21.20,0.00,20.30,20.36,C,1937,137,18.10,19.00,20.30,64.10,C,4,0,20.20,19.70,20.30,64.10,O,0,0
31_10_0_9_27,0,0,0,21.10,44.60,10670,19.90,56.10,10588,0,0,0,19.00,55.80,10660,19.70,51.70,10667,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,1,0,17.90,19.90,20.36,20.49,C,8,0,21.20,0.00,20.36,20.43,C,1944,144,18.10,19.00,20.36,64.10,C,1,0,20.20,19.70,20.36,64.10,O,0,0
31_10_0_9_57,0,0,0,21.10,44.60,10727,19.90,56.10,10588,0,0,0,19.00,55.80,10732,19.70,51.60,10723,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.49,20.43,C,0,0,17.90,19.90,20.49,20.49,C,16,0,21.20,0.00,20.49,20.43,C,1952,152,18.10,19.00,20.49,64.10,C,2,0,20.20,19.70,20.49,64.10,O,1,0
31_10_0_10_28,0,0,0,21.10,44.50,10774,19.90,56.10,10588,0,0,0,19.00,55.70,10745,19.80,51.70,10783,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.49,20.55,C,1,0,17.90,19.90,20.49,20.43,C,24,0,21.20,0.00,20.49,20.43,C,1960,160,18.10,19.00,20.49,64.10,C,5,0,20.20,19.80,20.49,64.10,O,0,0
31_10_0_10_58,0,0,0,21.20,44.70,10819,19.90,56.10,10817,0,0,0,19.00,55.70,10745,19.70,51.70,10821,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.55,20.55,C,2,0,17.90,20.10,20.55,20.43,C,5,0,21.20,0.00,20.55,20.74,C,1970,170,18.10,19.00,20.55,64.10,C,15,0,20.20,19.70,20.55,64.10,O,1,0
31_10_0_11_28,0,0,0,21.20,44.70,10819,19.90,56.10,10852,0,0,0,19.00,55.70,10745,19.60,51.60,10859,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.62,C,9,0,17.90,19.90,20.62,20.49,C,1,0,21.20,0.00,20.62,20.43,C,1980,180,18.10,19.00,20.62,64.10,C,25,0,20.20,19.60,20.62,64.10,O,0,0
31_10_0_11_59,0,0,0,21.20,44.70,10819,19.70,55.80,10926,0,0,0,19.00,55.90,10920,19.70,51.70,10930,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.55,20.62,C,16,0,17.90,19.70,20.55,20.43,C,0,0,21.20,0.00,20.55,20.49,C,1987,187,18.10,19.00,20.55,64.10,C,0,0,20.20,19.70,20.55,64.10,O,1,0
31_10_0_12_29,0,0,0,21.10,44.60,10985,20.00,56.00,10990,0,0,0,19.00,55.90,10988,19.70,51.70,10983,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.62,C,24,0,17.90,20.00,20.62,20.43,C,1,0,21.20,0.00,20.62,20.49,C,1995,195,18.10,19.00,20.62,64.10,C,1,0,20.20,19.70,20.62,64.10,O,0,0
31_10_0_12_59,0,0,0,20.90,44.40,11034,19.90,56.00,11035,0,0,0,19.00,55.80,11041,19.70,51.70,11042,0,0,0,0,0,0,0,0,0,0,0,0,17.80,20.90,20.55,20.55,C,1,0,17.90,19.90,20.55,20.43,C,1,0,21.20,0.00,20.55,20.49,C,2003,203,18.10,19.00,20.55,64.10,C,0,0,20.20,19.70,20.55,64.10,O,0,0
31_10_0_13_30,0,0,0,21.10,44.60,11109,19.90,56.10,11103,0,0,0,19.00,55.80,11092,19.70,51.70,11098,0,0,0,0,0,0,0,0,0,0,0,0,17.80,20.90,20.49,20.49,C,1,0,17.90,20.00,20.49,20.43,C,1,0,21.20,0.00,20.49,20.49,C,2011,211,18.10,19.00,20.49,64.10,C,0,0,20.20,19.70,20.49,64.10,O,0,0
31_10_0_14_0,0,0,0,21.10,44.60,11189,20.00,56.20,11186,0,0,0,19.00,55.90,11194,19.70,51.70,11195,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.43,20.43,C,0,0,17.90,20.00,20.43,20.43,C,1,0,21.20,0.00,20.43,20.49,C,2017,217,18.10,19.00,20.43,64.10,C,1,0,20.20,19.70,20.43,64.10,O,1,0
31_10_0_14_30,0,0,0,21.10,44.50,11244,20.00,56.20,11186,0,0,0,19.00,55.80,11246,19.70,51.70,11254,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,1,0,17.90,20.00,20.36,20.43,C,9,0,21.20,0.00,20.36,20.55,C,2025,225,18.10,19.00,20.36,64.10,C,0,0,20.20,19.70,20.36,64.10,O,0,0
