time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
30_10_22_53_4,0,0,0,21.30,44.80,2629,20.00,55.80,2589,0,0,0,19.10,56.10,2593,19.90,51.80,2622,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.49,20.49,C,0,0,17.90,20.00,20.49,20.55,C,13,0,21.20,0.00,20.49,16.60,C,655,55,18.10,19.10,20.49,64.10,C,10,0,20.20,19.90,20.49,64.10,O,0,0
30_10_22_57_47,0,0,0,21.00,44.50,3089,20.00,55.40,3083,0,0,0,19.00,56.00,2977,19.90,52.00,3093,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.00,20.68,20.68,C,1,0,17.90,20.00,20.68,20.62,C,2,0,21.20,0.00,20.68,16.98,C,738,138,18.10,19.00,20.68,64.10,C,18,0,20.20,19.90,20.74,64.10,O,0,0
30_10_22_58_17,0,0,0,21.20,44.70,3140,20.00,55.40,3083,0,0,0,19.00,56.00,3136,19.90,51.90,3130,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.68,20.68,C,2,0,17.90,20.00,20.68,20.62,C,11,0,21.20,0.00,20.68,17.04,C,747,147,18.10,19.00,20.68,64.10,C,1,0,20.20,19.90,20.68,64.10,O,1,0
30_10_22_58_47,0,0,0,21.20,44.70,3179,20.00,55.40,3083,0,0,0,19.10,56.10,3186,19.90,51.90,3185,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.55,20.62,C,0,0,17.90,20.00,20.55,20.62,C,20,0,21.20,0.00,20.55,17.11,C,756,156,18.10,19.10,20.55,64.10,C,2,0,20.20,19.90,20.55,64.10,O,0,0
30_10_22_59_18,0,0,0,21.20,44.70,3179,20.10,55.50,3219,0,0,0,19.10,56.10,3217,19.90,51.90,3216,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.55,20.55,C,10,0,17.90,20.00,20.55,20.62,C,2,0,21.20,0.00,20.55,17.11,C,766,166,18.10,19.10,20.55,64.10,C,0,0,20.20,19.90,20.55,64.10,O,1,0
30_10_22_59_48,0,0,0,21.20,44.70,3179,20.00,55.40,3271,0,0,0,19.10,56.10,3263,19.90,51.90,3276,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,18,0,17.90,20.00,20.49,20.62,C,0,0,21.20,0.00,20.49,17.48,C,774,174,18.10,19.10,20.49,64.10,C,0,0,20.20,19.90,20.49,64.10,O,1,0
30_10_23_0_18,0,0,0,21.20,44.60,3315,20.10,55.60,3316,0,0,0,19.00,55.90,3317,19.90,52.00,3311,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,1,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,17.17,C,784,184,18.10,19.10,20.49,64.10,C,2,0,20.20,19.90,20.49,64.10,O,1,0
30_10_23_0_49,0,0,0,21.20,44.60,3380,20.10,55.50,3382,0,0,0,19.10,56.00,3389,20.10,52.00,3392,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,2,0,17.90,20.10,20.49,20.62,C,1,0,21.20,0.00,20.49,17.23,C,791,191,18.10,19.10,20.49,64.10,C,2,0,20.20,19.90,20.49,64.10,O,1,0
30_10_23_1_19,0,0,0,21.20,44.60,3433,20.10,55.50,3455,0,0,0,19.10,55.90,3443,19.90,51.80,3453,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,3,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,17.29,C,798,198,18.10,19.10,20.49,64.10,C,1,0,20.20,19.90,20.49,64.10,O,0,0
30_10_23_1_49,0,0,0,21.20,44.60,3502,20.10,55.40,3499,0,0,0,19.10,55.90,3443,19.90,51.90,3510,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.55,20.55,C,1,0,17.90,20.10,20.55,20.62,C,1,0,21.20,0.00,20.55,17.29,C,807,207,18.10,19.10,20.55,64.10,C,10,0,20.20,19.90,20.55,64.10,O,0,0
